  #        id       flux         zspecflag    redshift       detectprob  soft/hard_ratio  optical_id
           1   2.27999992E-13           1  0.372999996               1  0.609649181               1
           2   2.11000000E-13           1   1.02400005               1  0.497630328               2
           3   2.58000002E-13           1  0.344999999               1  0.581395328               3
           4   1.58999997E-13           1  0.131999999               1  0.493081778               4
           5   1.47999993E-13           1   1.15699995               1  0.491891921               5
           6   6.07999978E-14           1  0.360000014               1  0.628289521               6
           7   1.89000007E-13           1  0.518999994               1  0.511111081               7
           8   5.40000004E-14           1  0.699000001               1   1.07037032               8
           9   4.70000015E-14           1   1.45899999               1  0.602127612               9
          10   2.20999993E-14           1  0.689000010               1   1.23076928              10
          11   2.88999984E-14           1   1.17999995               1  0.709342599              11
          12   2.39999992E-14           1   1.23899996               1  0.925000012              12
          13   2.89999992E-14           1  0.850000024               1  0.727586269              13
          14   4.94000016E-14           1   1.04999995               1  0.497975707              14
          15   5.79999983E-14           1   2.03299999               1  0.536206901              15
          16   3.50999984E-14           1  0.666999996               1  0.609686613              16
          17   6.09999993E-14           1   1.23599994               1  0.716393411              17
          18   6.02999977E-14           1   1.59800005               1  0.298507482              18
          19   2.82000003E-14           1  0.658999979               1  0.528368831              19
          20   2.30000006E-14           1  0.694999993               1  0.656521738              20
          21   2.92000006E-14           1   1.40300000               1  0.575342476              21
          22   1.75000005E-14           1  0.554000020               1   1.00000000              22
          23   5.52999995E-14           1  0.377999991               1  0.667269468              23
          24   2.75999994E-14           1   1.31799996               1  0.876811624              24
          25   2.53000000E-14           1   2.28900003               1  0.545454562              25
          26   3.07999984E-14           1  0.216000006               1  0.399350673              26
          27   2.78999998E-14           1  0.372999996               1  0.648745537              27
          28   3.26000010E-14           1   1.34200001               1  0.420245379              28
          30   1.56000006E-14           1   1.75300002               1  0.935897410              30
          31   2.78999998E-14           1  0.908999979               1  0.623655915              31
          32   2.68999995E-14           0   1.03999996               1  0.405204475              32
          33   2.68999995E-14           1   1.79900002               1  0.579925656              33
          34   2.15000001E-14           1   1.78900003               1  0.567441881              34
          37   2.40999999E-14           1   1.12300003               1  0.597510397              37
          38   2.73000006E-14           1   1.55900002               1  0.626373589              38
          39   3.68000003E-14           1  0.851000011               1  0.627717376              39
          40   3.83000008E-14           1  0.971000016               1  0.558746696              40
          41   2.71999999E-14           1  0.962000012               1  0.299632370              41
          42   2.46000001E-14           1  0.987999976               1  0.691056907              42
          43   2.68000005E-14           1   1.16199994               1  0.406716406              43
          44   2.11999997E-14           1   1.85000002               1  0.566037714              44
          45   2.08999993E-14           1  0.120999999               1  0.260287106              45
          47   2.16000008E-14           1  0.958999991               1  0.555555522              47
          48   3.41999988E-14           1   2.22199988               1  0.400584817              48
          49   1.82999994E-14           1  0.352999985               1  0.551912546              49
          50   2.30000006E-14           0   2.94000006               1  0.405652165              50
          51   1.73000008E-14           1   2.49699998               1  0.601156056              51
          52   1.91000000E-14           1   1.13399994               1  0.596858621              52
          53   2.20000003E-14           1   1.45899999               1  0.768181801              53
          54   9.94000025E-15           1  0.349999994               1   1.00603616              54
          56   2.18000006E-14           1   1.40699995               1  0.545871556              56
