#          name  xid     coordra    coorddec    fluxsoft     fluxmed    fluxhard flagcat       hr       chid	flagnew       id    idnew        r        i     knew     ch1new     ch2new     ch3new     ch4new       flux24	zspec  class flagredshift       zphot
#	#	#
XMMC_150.10515+1.98082    1 150.1052100   1.9811830    1.39e-13    2.28e-13    1.22e-13     1    -0.50      358 	    1  1268521   786683    19.24    19.12    18.21     367.38     477.44     635.68     777.46       3.30 	   0.373      1      1     0.37  
XMMC_149.73919+2.22053    2 149.7389600   2.2206750    1.05e-13    2.11e-13    1.07e-13     1    -0.42      329 	    1  1695261  1054439    20.34    19.96    19.00     186.00     245.22     372.22     536.39       1.67 	   1.024      1      1     1.05  
XMMC_149.76154+2.31849    3 149.7614800   2.3184580    1.50e-13    2.58e-13    1.42e-13     1    -0.49      440 	    1  2072529  1290981    19.39    18.67    17.39     535.75     643.04     821.03    1141.83       5.88 	   0.345      1      1     0.36  
XMMC_149.74418+2.24948    4 149.7438900   2.2497530    7.84e-14    1.59e-13    9.56e-14     1    -0.41      418 	    1  1688156  1048950    18.51    16.90    17.02     433.43     367.59     346.99     641.74       2.68 	   0.132      1      1     0.13  
XMMC_149.82819+2.16421    5 149.8279300   2.1643600    7.28e-14    1.48e-13    7.54e-14     1    -0.42      320 	    1  1709129  1063264    19.90    19.47    18.75     200.13     280.00     417.68     577.09       1.54 	   1.157      1      1     1.18  
XMMC_150.17978+2.11015    6 150.1797800   2.1103800    3.82e-14    6.08e-14    2.87e-14     1    -0.53       42 	    1  1236435   767213    19.31    18.34    17.95     223.03     249.09     262.81     417.95       2.03 	   0.360      1      1     0.32  
XMMC_150.52108+2.62525    7 150.5209600   2.6254120    9.66e-14    1.89e-13    1.01e-13     1    -0.44      -99 	    1  2277781  1418792    20.35    18.94    18.07     294.36     323.98     388.87     414.88       1.85 	   0.519      1      5     1.36  
XMMC_150.05383+2.58967    8 150.0537800   2.5896710    5.78e-14    5.40e-14    1.94e-14     1    -0.69      142 	    1  2362650  1472056    19.29    18.79    18.20     468.99     634.28     886.09    1161.88       3.39 	   0.699      1      1     0.71  
XMMC_149.91983+2.32747    9 149.9197600   2.3274600    2.83e-14    4.70e-14    2.22e-14     1    -0.51      499 	    1  2030952  1265494    20.50    20.07    19.47     100.49     164.42     256.80     395.66       1.38 	   1.459      1      2     1.46  
XMMC_149.91261+2.20032   10 149.9124400   2.2003660    2.72e-14    2.21e-14    1.09e-14     1    -0.72      446 	    1  1660949  1032058    20.88    20.39    19.37     117.58     144.56     187.07     243.80       1.84 	   0.689      1      2     0.68  
XMMC_150.14532+2.04282   11 150.1455900   2.0430680    2.05e-14    2.89e-14    1.72e-14     1    -0.57      361 	    1  1254476   777509    20.85    20.63    19.82      70.76      81.60     100.92     131.89       0.57 	   1.180      1      2     1.21  
XMMC_150.20776+2.08316   12 150.2079600   2.0833380    2.22e-14    2.40e-14   -6.11e-15     1    -0.65       50 	    1  1244668   771981    19.85    19.36    18.75     190.11     310.46     486.27     734.18       2.98 	   1.239      1      5     1.27  
XMMC_150.00932+2.27531   13 150.0092400   2.2755120    2.11e-14    2.90e-14    1.10e-14     1    -0.58      475 	    1  1644156  1021632    20.89    20.05    18.95     139.01     138.62     181.02     230.76       0.91 	   0.850      1      3     0.84  
XMMC_150.32729+2.46085   14 150.3274200   2.4609330    2.46e-14    4.94e-14    2.34e-14     1    -0.41      627 	    1  2277992  1419368    20.51    20.06    19.05     165.71     205.99     292.82     408.13       2.24 	   1.050      1      3     1.07  
XMMC_150.49901+2.44498   15 150.4991100   2.4449110    3.11e-14    5.80e-14    3.39e-14     1    -0.46      643 	    1  1886199  1176502    19.86    19.38    19.05      69.25      75.69     112.68     171.90       0.53 	   2.033      1      2     2.01  
XMMC_150.47194+2.41033   16 150.4720400   2.4102320    2.14e-14    3.51e-14    1.86e-14     1    -0.50      640 	    1  1894391  1180646    20.62    19.99    19.20     110.91     133.36     191.06     245.52       1.12 	   0.667      1      2     0.61  
XMMC_149.85200+1.99835   17 149.8519400   1.9984490    4.37e-14    6.10e-14    2.85e-14     1    -0.57      208 	    1  1343773   834486    18.63    18.40    18.43     203.84     283.11     385.09     535.16       1.80 	   1.236      1      1     1.28  
XMMC_150.13303+2.30324   18 150.1330400   2.3032850    1.80e-14    6.03e-14    3.44e-14     1    -0.21       87 	    1  1997845  1244269    24.03    22.96    20.51      44.21      60.50      78.38     123.66       0.51 	   1.598      1      6     1.45  
XMMC_149.99367+2.25859   19 149.9936200   2.2585390    1.49e-14    2.82e-14    1.10e-14     1    -0.45      450 	    1  1647183  1024197    21.17    20.12    18.66     132.30     104.89     118.90     123.49       0.63 	   0.659      2      5     0.67  
XMMC_150.24464+2.43233   20 150.2446100   2.4322770    1.51e-14    2.30e-14    1.28e-14     1    -0.54       74 	    1  1929738  1201141    21.40    20.83    19.82      50.84      52.04      68.52      90.06       0.52 	   0.695      1      2     0.69  
XMMC_150.23077+2.57823   21 150.2307900   2.5781830    1.68e-14    2.92e-14    1.53e-14     1    -0.49      128 	    1  2289014  1425464    20.25    20.12    19.94      75.41     125.51     193.50     307.52       1.39 	   1.403      1      1     1.41  
XMMC_150.19458+2.06787   22 150.1947200   2.0679060    1.75e-14    1.75e-14   -6.71e-15     1    -0.67       35 	    1  1247183   773587    20.55    19.58    18.60     191.16     209.28     259.08     292.15       1.07 	   0.554      1      2     0.55  
XMMC_149.78984+2.32119   23 149.7897400   2.3212470    3.69e-14    5.53e-14    2.76e-14     1    -0.54      420 	    1  2071891  1290583    20.81    20.09    18.65     150.09     167.45     202.36     263.41       1.27 	   0.378      1      3     0.37  
XMMC_150.10257+2.53038   24 150.1026700   2.5302940    2.42e-14    2.76e-14    1.01e-14     1    -0.63      112 	    1  2338994  1456165    18.90    18.71    19.22     170.78     281.37     422.51     595.88       1.91 	   1.318      1      1     1.35  
XMMC_150.10206+2.10535   25 150.1020000   2.1054880    1.38e-14    2.53e-14    1.64e-14     1    -0.46      467 	    1  1239517   768923    20.16    19.97    19.09      67.46      89.67     148.53     232.10       0.55 	   2.289      1      2     2.28  
XMMC_150.39965+2.68834   26 150.3996200   2.6879520    1.23e-14    3.08e-14    1.01e-14     1    -0.33      -99 	   10  2619326  1627881    19.53    18.25    18.45     212.81     239.18     278.30     633.75       2.43 	   0.216      2      5     0.18  
XMMC_150.30799+2.42996   27 150.3080500   2.4300670    1.81e-14    2.79e-14    1.37e-14     1    -0.52       93 	    1  1929997  1201356    20.89    20.13    19.11      51.48      50.11      40.96      56.54       0.26 	   0.373      1      5     0.38  
XMMC_150.30562+2.60205   28 150.3055700   2.6022500    1.37e-14    3.26e-14    1.41e-14     1    -0.36     1593 	    1  2284931  1422298    22.05    21.31    21.00      39.18      55.82      76.01     120.18       0.41 	   1.342      1      5     1.38  
XMMC_149.95598+2.02796   30 149.9558300   2.0280640    1.46e-14    1.56e-14   -6.14e-15     1    -0.65      330 	    1  1297823   805687    19.44    19.03    18.79     112.28     150.87     228.54     318.07       0.76 	   1.753      1      1     1.78  
XMMC_149.94560+2.36922   31 149.9455300   2.3692900    1.74e-14    2.79e-14    1.27e-14     1    -0.52      501 	    1  2021294  1259112    21.16    21.08    19.95      73.51      87.26     112.53     132.07       0.67 	   0.909      1      5     0.90  
XMMC_149.85922+2.25814   32 149.8590400   2.2582580    1.09e-14    2.69e-14    1.37e-14     1    -0.35      412 	    1  1687013  1049266    23.88    22.97    20.91      26.41      29.16      32.97      46.19       0.14 	 -99.000    -99    -99     1.04  
XMMC_150.30957+2.39908   33 150.3095600   2.3991550    1.56e-14    2.69e-14    1.47e-14     1    -0.49       94 	    1  1936889  1205351    19.62    19.22    19.33     132.25     209.22     342.36     490.37       1.58 	   1.799      1      1     1.77  
XMMC_149.99376+2.30144   34 149.9939000   2.3014610    1.22e-14    2.15e-14    1.34e-14     1    -0.49      474 	    1  2037310  1269358    20.63    20.13    19.88      43.44      58.18      96.48     147.38       0.60 	   1.789      1      2     1.77  
XMMC_149.91698+2.38512   37 149.9169100   2.3852110    1.44e-14    2.41e-14    1.20e-14     1    -0.51      510 	    1  2017414  1256662    20.39    20.11    19.42     119.23     155.28     209.01     277.36       0.91 	   1.123      1      2     1.10  
XMMC_150.24513+1.89975   38 150.2451700   1.9000860    1.71e-14    2.73e-14   -1.18e-14     1    -0.52     1044 	    1   856195   527834    20.38    19.94    19.69      73.72      98.01     125.95     176.44       0.76 	   1.559      1      1     1.55  
XMMC_150.49762+2.65968   39 150.4975800   2.6599330    2.31e-14    3.68e-14    1.72e-14     1    -0.52      -99 	    1  2626163  1632313    21.00    20.60    19.22     109.33     113.57     148.88     170.36       0.79 	   0.851      1      2     0.86  
XMMC_150.31166+2.03575   40 150.3119300   2.0357490    2.14e-14    3.83e-14    2.16e-14     1    -0.48       54 	    1  1217579   754529    21.62    20.79    19.09     136.95     114.79     103.07     120.10       0.48 	   0.971      1      5     0.99  
XMMC_150.10566+2.12623   41 150.1055500   2.1263600    8.15e-15    2.72e-14    1.78e-14     1    -0.20      468 	    1  1599112   993945    21.89    21.67    20.53      33.89      38.55      53.47      68.65       0.23 	   0.962      2      5     1.03  
XMMC_150.51152+2.40956   42 150.5115700   2.4096090    1.70e-14    2.46e-14    1.10e-14     1    -0.55      644 	    1  1894730  1181400    20.46    20.50    19.94      90.71     130.74     188.07     249.85       0.76 	   0.988      1      1     1.02  
XMMC_149.83418+2.30867   43 149.8340200   2.3087630    1.09e-14    2.68e-14    1.05e-14     1    -0.34      411 	    1  2075019  1292036    23.55    22.05    19.61     102.36      98.19      83.44      81.36       0.28 	   1.162      2      3     1.28  
XMMC_150.21453+2.20423   44 150.2146600   2.2042850    1.20e-14    2.12e-14    1.10e-14     1    -0.48       21 	    1  1620425  1007423    21.47    21.04    20.95      17.93      24.11      41.05      62.82       0.21 	   1.850      1      2     1.86  
